ID,Substance,Task,Pipeline,Threshold,Sensitivity,Specificity,Accuracy,ROC AUC
ID25,Almond,Crave,global_ssl,0.04,0.385 ± 0.418,0.867 ± 0.082,0.839 ± 0.086,0.811 ± 0.132
ID25,Almond,Use,global_ssl,0.33,0.584 ± 0.395,0.555 ± 0.115,0.566 ± 0.107,0.583 ± 0.137
ID25,Carrot,Crave,global_ssl,0.11,0.504 ± 0.500,0.481 ± 0.119,0.501 ± 0.117,0.822 ± 0.089
ID25,Almond,Crave,global_supervised,0.5,0.385 ± 0.418,0.605 ± 0.124,0.598 ± 0.118,0.382 ± 0.287
ID25,Almond,Use,global_supervised,0.18,0.000 ± 0.000,0.435 ± 0.120,0.388 ± 0.111,0.276 ± 0.133
ID25,Carrot,Crave,global_supervised,0.16,0.504 ± 0.500,0.444 ± 0.124,0.466 ± 0.120,0.699 ± 0.110
ID25,Almond,Crave,personal_ssl,0.13,0.385 ± 0.418,0.826 ± 0.093,0.801 ± 0.094,0.708 ± 0.207
ID25,Almond,Use,personal_ssl,0.3,0.295 ± 0.346,0.877 ± 0.077,0.819 ± 0.086,0.720 ± 0.156
ID25,Carrot,Crave,personal_ssl,0.49,0.504 ± 0.500,0.959 ± 0.050,0.961 ± 0.048,0.980 ± 0.026
ID26,Carrot,Use,global_ssl,0.21,0.750 ± 0.433,0.081 ± 0.066,0.150 ± 0.082,0.740 ± 0.178
ID26,Carrot,Use,global_supervised,0.23,0.750 ± 0.433,0.123 ± 0.078,0.189 ± 0.091,0.524 ± 0.277
ID26,Carrot,Use,personal_ssl,0.45,0.000 ± 0.000,0.603 ± 0.122,0.558 ± 0.120,0.318 ± 0.191
ID27,Melon,Crave,global_ssl,0.43,0.356 ± 0.413,0.080 ± 0.092,0.134 ± 0.107,0.174 ± 0.165
ID27,Melon,Use,global_ssl,0.44,1.000 ± 0.000,0.000 ± 0.000,0.823 ± 0.131,0.653 ± 0.246
ID27,Nectarine,Crave,global_ssl,0.46,0.989 ± 0.104,0.558 ± 0.206,0.720 ± 0.140,0.846 ± 0.143
ID27,Nectarine,Use,global_ssl,0.42,0.946 ± 0.066,0.249 ± 0.133,0.621 ± 0.101,0.574 ± 0.117
ID27,Melon,Crave,global_supervised,0.11,0.379 ± 0.421,0.230 ± 0.145,0.267 ± 0.144,0.374 ± 0.228
ID27,Melon,Use,global_supervised,0.24,1.000 ± 0.000,0.000 ± 0.000,0.823 ± 0.131,0.670 ± 0.194
ID27,Nectarine,Crave,global_supervised,0.28,0.787 ± 0.245,1.000 ± 0.000,0.926 ± 0.082,0.910 ± 0.117
ID27,Nectarine,Use,global_supervised,0.17,0.886 ± 0.092,0.062 ± 0.074,0.502 ± 0.106,0.544 ± 0.126
ID27,Melon,Crave,personal_ssl,0.41,0.735 ± 0.442,0.000 ± 0.000,0.133 ± 0.114,0.745 ± 0.151
ID27,Melon,Use,personal_ssl,0.36,0.659 ± 0.187,0.000 ± 0.000,0.543 ± 0.177,0.271 ± 0.271
ID27,Nectarine,Crave,personal_ssl,0.42,0.989 ± 0.104,0.000 ± 0.000,0.364 ± 0.154,0.264 ± 0.218
ID27,Nectarine,Use,personal_ssl,0.32,0.890 ± 0.089,0.124 ± 0.102,0.533 ± 0.105,0.520 ± 0.120
ID28,Almond,Use,global_ssl,0.24,0.404 ± 0.435,0.745 ± 0.291,0.669 ± 0.237,0.517 ± 0.363
ID28,Coffee,Use,global_ssl,0.31,0.948 ± 0.222,0.990 ± 0.100,1.000 ± 0.000,1.000 ± 0.000
ID28,Almond,Use,global_supervised,0.18,0.396 ± 0.433,0.487 ± 0.337,0.496 ± 0.260,0.371 ± 0.340
ID28,Coffee,Use,global_supervised,0.34,0.948 ± 0.222,0.506 ± 0.333,0.720 ± 0.205,0.924 ± 0.156
ID28,Almond,Use,personal_ssl,0.29,0.800 ± 0.400,0.501 ± 0.339,0.667 ± 0.246,0.760 ± 0.294
ID28,Coffee,Use,personal_ssl,0.31,0.948 ± 0.222,0.487 ± 0.338,0.708 ± 0.212,1.000 ± 0.000
ID5,Melon,Crave,global_ssl,0.33,0.719 ± 0.324,0.230 ± 0.098,0.302 ± 0.098,0.364 ± 0.150
ID5,Melon,Crave,global_supervised,0.11,0.942 ± 0.234,0.038 ± 0.046,0.168 ± 0.084,0.440 ± 0.193
ID5,Melon,Crave,personal_ssl,0.49,0.719 ± 0.324,0.309 ± 0.109,0.370 ± 0.104,0.397 ± 0.160
ID9,Melon,Crave,global_ssl,0.38,0.000 ± 0.000,0.893 ± 0.085,0.804 ± 0.104,0.705 ± 0.165
ID9,Melon,Crave,global_supervised,0.11,0.749 ± 0.434,0.167 ± 0.105,0.249 ± 0.119,0.701 ± 0.141
ID9,Melon,Crave,personal_ssl,0.36,0.000 ± 0.000,0.893 ± 0.085,0.804 ± 0.104,0.705 ± 0.189
